ID,Line,EndLine,CC,NL,WMC,CBOI,NOI,AD,CD,CLOC,PUA,NA,NG,NLG,NS,TNM,bug
L4274,34,118,0.0,2,6,13,1,1.0,0.79798,79,0,1,0,0,0,4,0
L120472,20,148,0.0,3,44,2,8,1.0,0.268908,32,0,2,0,0,0,181,0
L5402,104,2573,0.0,0,170,99,0,1.0,0.819485,1943,0,1,0,0,0,170,0
L3415,27,256,0.395455,2,20,26,11,1.0,0.702222,158,0,107,18,3,9,92,0
L2904,25,181,0.494318,2,16,22,9,1.0,0.641026,100,0,103,13,2,7,78,0
L118728,27,243,0.0,2,63,8,32,0.13333299999999998,0.0731707,15,13,10,10,10,0,17,2
L7915,46,271,0.20197,2,26,20,31,1.0,0.515021,120,0,112,18,1,9,97,0
L2859,40,416,0.29918,2,43,21,33,1.0,0.495979,185,0,114,18,4,11,88,0
L52631,32,190,0.0,1,14,19,13,1.0,0.6125,98,0,105,11,1,6,66,0
L52639,28,270,0.340961,2,27,11,16,1.0,0.508475,120,0,107,13,3,8,73,0
L52649,49,319,0.196653,2,27,11,23,1.0,0.565371,160,0,109,13,3,8,75,0
L3089,28,160,0.0,1,13,13,11,1.0,0.569231,74,0,105,11,1,6,70,0
L52652,30,240,0.235988,2,23,16,17,1.0,0.538462,112,0,105,14,4,7,76,0
L52676,28,261,0.244332,2,24,11,18,1.0,0.5265489999999999,119,0,108,14,3,9,73,0
L52686,30,440,0.268437,2,33,11,19,1.0,0.492908,139,0,109,14,4,9,79,0
L122711,33,307,0.0501742,6,91,3,20,1.0,0.116981,31,0,0,0,0,0,10,0
L118736,31,1001,0.0,0,53,40,0,1.0,0.831364,774,0,0,11,11,0,53,0
L7871,28,168,0.0,1,13,31,13,1.0,0.5797100000000001,80,0,106,12,1,7,70,0
L52708,36,130,0.0,0,9,10,8,1.0,0.6346149999999999,66,0,104,12,1,7,70,0
L3191,57,281,0.236434,3,22,25,13,1.0,0.7040000000000001,176,0,105,15,4,8,76,0
L52714,29,177,0.164021,2,14,11,10,1.0,0.575342,84,0,105,11,1,7,71,0
L52722,28,187,0.136364,2,16,11,15,1.0,0.557692,87,0,106,13,2,8,71,0
L52730,28,264,0.346939,2,27,10,17,1.0,0.495652,114,0,107,13,3,8,73,0
L52740,28,267,0.340183,2,27,10,19,1.0,0.497854,116,0,107,13,3,8,68,0
L52750,28,388,0.310345,7,59,11,17,1.0,0.397878,150,0,105,12,2,8,74,1
L53923,22,98,0.0,1,4,41,1,1.0,0.777778,63,0,4,3,1,0,10,0
L54007,23,113,0.0,1,6,73,1,1.0,0.755319,71,0,5,3,1,0,11,0
L52580,63,584,0.301848,2,54,14,28,1.0,0.5607479999999999,300,0,116,15,5,10,83,0
L120178,30,129,0.0,0,7,6,2,1.0,0.770642,84,0,103,12,1,7,67,0
L1561,53,1058,0.0999306,3,101,75,36,1.0,0.657787,642,0,118,23,13,11,92,0
L122168,61,942,0.0210012,8,129,2,84,0.428571,0.234069,191,8,33,4,3,1,59,0
L52785,28,334,0.431703,2,35,10,16,1.0,0.4814810000000001,143,0,109,14,4,9,75,0
L52797,34,251,0.0703125,2,23,13,16,1.0,0.564815,122,0,109,12,1,7,72,0
L52807,28,187,0.1375,2,16,11,15,1.0,0.557692,87,0,106,13,2,8,71,0
L122088,14,562,0.0,1,169,3,3,0.0299401,0.0230326,12,162,1,0,0,0,338,0
L118768,78,1818,0.202444,21,473,8,76,0.666667,0.172049,293,1,7,26,15,0,113,1
L120196,24,644,0.159052,6,105,3,10,1.0,0.32745100000000005,167,0,10,6,6,0,354,0
L118762,21,50,0.0,0,6,1,5,0.166667,0.115385,3,5,13,11,3,0,26,0
L7876,28,274,0.334081,2,27,12,19,1.0,0.5125,123,0,108,14,3,9,73,0
L120185,29,742,0.0441129,4,174,1,48,0.5,0.149786,105,2,138,4,0,1,51,1
L52822,28,116,0.0,0,8,12,9,1.0,0.6,54,0,104,12,1,7,67,0
L52828,31,329,0.45799,2,35,9,23,1.0,0.469178,137,0,110,15,4,10,75,0
L3649,42,389,0.238924,2,36,18,33,1.0,0.530435,183,0,114,17,3,10,88,0
L7921,44,334,0.18315,2,30,19,31,1.0,0.510274,149,0,116,18,1,9,99,0
L3143,51,139,0.0,0,5,59,6,1.0,0.859504,104,0,102,11,0,6,66,0
L52854,31,204,0.275862,2,19,12,18,1.0,0.531792,92,0,106,13,2,8,71,0
L52862,58,312,0.330377,2,28,12,19,1.0,0.570397,158,0,107,13,3,8,74,0
L3394,39,368,0.468553,2,37,25,32,1.0,0.498462,162,0,114,16,2,9,85,0
L7881,44,361,0.236264,2,29,12,22,1.0,0.5700930000000001,183,0,112,14,3,9,76,0
L7886,27,347,0.5018050000000001,2,32,11,20,1.0,0.53871,167,0,110,15,4,10,75,0
L52777,33,377,0.120553,2,31,18,23,1.0,0.574405,193,0,110,12,2,9,72,0
L52905,29,538,0.212866,2,42,10,25,1.0,0.510029,178,0,111,14,4,9,82,0
L52921,27,312,0.23835100000000006,2,35,14,32,1.0,0.457565,124,0,112,16,2,9,84,0
L52929,27,263,0.340961,2,27,10,17,1.0,0.49345,113,0,107,13,3,8,73,0
L119536,38,240,0.10568,3,36,1,26,0.75,0.121387,21,1,5,3,3,0,29,0
L3653,31,320,0.0731707,4,27,23,20,1.0,0.548387,153,0,110,13,2,8,75,0
L52944,28,275,0.337104,2,27,10,19,1.0,0.510373,123,0,108,14,3,9,73,0
L52954,33,127,0.0,0,9,11,8,1.0,0.623762,63,0,104,12,1,7,70,0
L7861,29,160,0.165829,2,15,14,16,1.0,0.526718,69,0,105,13,1,7,82,0
L52963,31,271,0.251852,2,25,13,19,1.0,0.54661,129,0,107,13,3,8,69,0
L3023,32,280,0.326754,2,28,13,20,1.0,0.510204,125,0,107,13,3,8,69,0
L118753,25,208,0.1341,6,56,4,24,0.13333299999999998,0.0650888,11,13,12,8,8,0,20,0
L123436,20,134,0.0,1,11,1,0,1.0,0.616071,69,0,3,4,4,0,6,0
L124360,29,442,0.29028000000000004,4,87,1,30,0.8,0.222513,85,6,20,16,16,0,32,0
L3351,66,906,0.254169,2,81,32,44,1.0,0.557669,469,0,128,20,6,14,102,0
L52984,35,398,0.412112,2,38,14,27,1.0,0.544944,194,0,112,13,3,8,78,0
L52998,31,316,0.21118,2,28,13,23,1.0,0.548736,152,0,109,13,3,8,71,0
L53005,42,358,0.257036,2,31,11,21,1.0,0.553459,176,0,110,13,3,9,71,0
L53022,45,707,0.048105,2,39,23,11,1.0,0.691992,337,0,117,12,2,7,95,0
L2907,29,119,0.0,1,7,33,4,1.0,0.734694,72,0,104,12,1,6,72,0
L119519,23,188,0.0,0,11,2,0,1.0,0.8536590000000001,140,0,0,0,0,0,11,0
L122053,23,99,0.0,1,19,2,0,0.0,0.0,0,7,3,0,0,0,246,0
L3030,28,202,0.117438,2,18,16,20,1.0,0.5352939999999999,91,0,107,13,1,7,84,0
L53035,23,117,0.0,0,9,11,7,1.0,0.577778,52,0,103,11,1,6,68,0
L53041,27,223,0.0891892,3,27,11,14,1.0,0.445026,85,0,105,12,2,7,72,0
L124371,36,254,0.0566502,7,44,1,26,0.928571,0.23445,49,1,13,7,7,0,16,0
L4826,38,361,0.170569,2,36,24,26,1.0,0.538941,173,0,110,13,3,8,71,0
L53056,31,248,0.217984,2,22,15,21,1.0,0.53271,114,0,108,12,2,7,76,0
L53066,28,199,0.284698,2,19,12,16,1.0,0.52381,88,0,105,12,2,7,71,0
L53074,30,330,0.244589,2,25,11,19,1.0,0.504587,110,0,107,13,3,8,77,0
L53086,30,347,0.23251,2,25,10,19,1.0,0.506849,111,0,107,13,3,8,77,0
L53098,42,302,0.106796,2,16,27,10,1.0,0.586957,135,0,115,12,2,7,77,0
L53108,35,280,0.323913,2,28,13,19,1.0,0.5040979999999999,123,0,109,14,3,8,79,0
L53118,47,284,0.332589,2,27,13,19,1.0,0.528,132,0,108,13,3,8,76,0
L122791,29,690,0.0380952,4,133,2,44,1.0,0.302782,185,0,13,31,31,0,65,0
L124406,18,128,0.30721,1,29,1,11,0.05,0.052083300000000006,5,19,8,12,12,0,22,0
L53128,28,185,0.136364,2,16,11,15,1.0,0.545455,84,0,106,13,2,8,71,0
L3155,32,303,0.07096770000000001,2,33,76,17,1.0,0.509434,135,0,108,13,2,7,79,0
L118850,25,83,0.0,1,5,36,1,1.0,0.727273,48,0,4,3,1,0,10,0
L53139,27,197,0.283688,2,19,18,16,1.0,0.518072,86,0,105,12,2,7,74,0
L3017,31,226,0.283333,2,23,16,21,1.0,0.494845,96,0,107,14,2,8,84,0
L3222,39,636,0.294717,3,65,28,32,1.0,0.512953,297,0,118,19,6,12,89,0
L52700,76,209,0.0,5,13,27,6,1.0,0.736559,137,0,103,12,1,7,65,0
L53155,27,345,0.308072,2,43,11,15,1.0,0.472561,155,0,105,13,3,8,74,1
L53477,32,143,0.0,1,14,22,0,1.0,0.625,80,0,2,2,2,0,7,0
L53163,35,317,0.11811,2,29,13,22,1.0,0.5611510000000001,156,0,111,13,2,8,75,0
L53175,34,276,0.252475,2,25,12,19,1.0,0.556017,134,0,107,13,3,8,74,0
L53185,36,396,0.412112,2,38,13,27,1.0,0.542614,191,0,112,13,3,8,78,0
L53199,31,222,0.109272,2,19,11,18,1.0,0.550265,104,0,107,13,2,8,72,0
L53209,35,250,0.217391,2,22,11,22,1.0,0.546296,118,0,108,13,2,8,73,0
L53219,28,266,0.334081,2,27,11,20,1.0,0.49569,115,0,108,14,3,9,73,0
L53229,36,400,0.0942857,2,19,11,16,1.0,0.717808,262,0,126,12,2,7,69,0
L53236,30,197,0.139241,2,17,10,11,1.0,0.5636359999999999,93,0,105,12,2,7,66,0
L53249,33,188,0.141631,2,16,11,13,1.0,0.566879,89,0,105,12,2,7,71,0
L53257,28,201,0.275862,2,19,11,18,1.0,0.523529,89,0,106,13,2,8,71,0
L7891,30,299,0.296218,2,27,12,23,1.0,0.524904,137,0,110,14,3,9,75,0
L3165,55,171,0.0,0,8,33,3,1.0,0.826667,124,0,102,11,0,6,69,0
L124341,43,1235,0.144442,6,298,2,72,0.896552,0.209877,238,6,22,29,29,0,123,1
L7907,69,823,0.310083,2,82,25,43,1.0,0.540184,410,0,126,23,6,12,114,0
L52600,41,358,0.225877,2,31,11,22,1.0,0.58125,186,0,108,14,3,9,77,0
L53293,28,198,0.294737,2,19,11,16,1.0,0.520958,87,0,105,12,2,7,71,0
L3358,27,257,0.211082,2,23,15,23,1.0,0.5405409999999999,120,0,107,12,2,7,69,0
L124401,29,357,0.276014,4,71,1,40,0.952381,0.22330100000000006,69,1,14,13,13,0,23,0
L3215,29,196,0.0,0,14,14,3,1.0,0.8461540000000001,143,0,102,17,6,9,75,0
L53308,45,434,0.405523,3,40,14,28,1.0,0.5564100000000001,217,0,112,13,3,8,78,0
L3229,32,334,0.269777,2,33,21,21,1.0,0.518771,152,0,109,17,4,9,79,0
L53327,48,436,0.399142,3,40,14,30,1.0,0.5572520000000001,219,0,113,14,3,9,78,0
L53341,28,275,0.334081,2,27,10,19,1.0,0.514523,124,0,108,14,3,9,73,0
L53351,32,278,0.198758,2,22,12,17,1.0,0.603306,146,0,107,12,2,9,78,0
L61680,84,694,0.121162,5,78,13,46,1.0,0.563607,350,0,4,6,6,1,27,1
L127997,57,1096,0.0,4,166,1,65,1.0,0.439282,416,0,15,10,10,4,44,0
L61861,37,421,0.0,1,42,3,18,1.0,0.639566,236,0,3,7,7,0,21,0
L53404,38,135,0.0,1,3,6,6,1.0,0.815385,53,0,0,0,0,0,5,0
L89109,23,246,0.0,0,3,11,0,1.0,0.926606,202,0,9,0,0,0,3,0
L130330,50,396,0.0,4,45,0,9,0.666667,0.186441,44,1,9,0,0,0,12,0
L130434,27,3613,0.0543572,3,54,9,4,1.0,0.881582,3365,0,276,6,6,3,10,2
L130760,33,428,0.0,3,71,5,1,1.0,0.429708,162,0,0,4,4,0,13,0
L68740,23,40,0.0,0,2,3,0,1.0,0.714286,20,0,1,0,0,0,2,0
L69449,26,161,0.0,1,26,1,12,1.0,0.474026,73,0,1,0,0,0,18,0
L82632,25,40,0.0,0,1,2,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83366,26,72,0.0,0,3,1,1,1.0,0.705882,36,0,16,8,0,10,34,1
L83356,25,41,0.0,0,1,1,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83384,25,70,0.0,0,3,1,2,1.0,0.686275,35,0,15,7,0,10,28,0
L83351,25,41,0.0,0,1,2,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83389,26,129,0.0,0,6,2,1,1.0,0.757009,81,0,17,8,0,10,37,1
L83323,25,41,0.0,0,1,1,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83405,26,43,0.0,0,1,2,1,1.0,0.807692,21,0,14,8,0,10,32,1
L82719,23,130,0.0,0,3,2,2,1.0,0.892857,100,0,13,8,1,10,28,1
L80312,24,130,0.0,0,8,16,2,1.0,0.788991,86,0,5,7,5,0,12,1
L55519,37,1307,0.00474496,2,44,11,32,1.0,0.79223,938,0,1,1,1,0,44,0
L82383,31,376,0.0,3,34,25,1,1.0,0.611111,209,0,13,7,7,10,25,0
L64092,50,225,0.0,2,12,43,6,1.0,0.838384,166,0,0,2,2,0,10,0
L64088,46,2262,0.16961700000000002,6,339,55,61,1.0,0.49077,1090,0,15,4,4,0,31,1
L80283,32,95,0.0,0,5,12,0,1.0,0.8552629999999999,65,0,0,0,0,0,5,0
L83346,25,41,0.0,0,1,2,1,1.0,0.791667,19,0,13,7,0,10,26,0
L80263,30,141,0.0,1,9,5,7,1.0,0.773109,92,0,0,8,8,0,8,0
L85277,40,48,0.0,0,1,5,0,1.0,0.916667,33,0,0,0,0,0,1,0
L55497,23,55,0.0,0,1,8,0,1.0,0.906977,39,0,0,0,0,0,1,0
L83361,25,40,0.0,0,1,1,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83421,25,43,0.0,0,1,1,2,1.0,0.777778,21,0,13,7,0,10,26,0
L82134,26,110,0.0,1,6,3,4,1.0,0.786517,70,0,15,9,1,12,35,2
L134941,19,1487,0.0,0,205,0,0,1.0,0.6503939999999999,826,0,0,0,0,0,205,1
L76148,19,84,0.0,0,3,30,0,1.0,0.84375,54,0,5,1,1,0,3,0
L73000,19,55,0.0,0,2,37,0,1.0,0.578947,22,0,9,0,0,0,2,0
L135666,36,456,0.0,1,11,1,4,1.0,0.8941180000000001,380,0,1,0,0,0,5,0
L136313,20,229,0.0,0,0,1,0,1.0,0.0324074,7,0,205,0,0,0,0,1
L45963,18,54,0.0,1,5,2,0,0.0,0.0625,2,3,2,2,2,0,3,0
L48270,40,216,0.292954,4,52,1,9,0.0,0.00666667,1,3,11,11,5,0,30,0
L48311,73,10529,0.26179600000000003,29,2194,19,305,0.416667,0.0545887,505,7,381,7,4,6,206,7
L50106,25,339,0.266927,4,56,5,33,0.25,0.0192308,6,3,6,3,2,4,19,1
L48274,57,217,0.0,7,43,2,17,0.0,0.0,0,2,19,5,2,1,68,0
L50860,26,109,0.0,1,13,3,1,1.0,0.0945946,7,0,11,0,0,11,11,1
L50910,25,196,0.0,3,35,5,7,0.5,0.0897436,14,1,21,6,6,9,17,1
L50874,61,845,0.21692,8,171,2,60,0.0,0.0249633,17,4,18,6,6,0,17,2
L49269,32,595,0.0,7,87,5,27,0.0,0.0335052,13,3,5,3,3,0,517,0
L51956,50,1365,0.22525100000000006,9,253,7,105,0.714286,0.107481,125,2,35,4,1,0,710,1
L49952,31,145,0.0,3,31,1,11,0.0,0.0,0,9,2,0,0,0,252,0
L49780,35,552,0.0,6,111,4,18,0.0,0.0275862,12,23,12,1,1,0,276,0
L46052,19,296,0.0,5,76,2,13,0.857143,0.202899,56,1,389,2,1,0,42,0
L46119,28,912,0.155197,9,212,1,49,0.666667,0.205418,182,1,150,8,2,0,77,0
L46312,20,299,0.0,2,98,1,1,0.0117647,0.0107527,3,84,3,1,1,0,325,0
L46094,17,44,0.0,0,5,25,0,0.0,0.0740741,2,6,5,0,0,0,5,0
L46600,19,55,0.0,3,8,1,7,0.0,0.0,0,4,391,5,0,1,78,0
L46615,18,35,0.0,0,2,3,2,0.0,0.125,2,3,423,0,0,0,69,0
L46627,21,57,0.0,1,6,3,8,0.0,0.0967742,3,5,401,2,0,3,58,0
L46647,18,52,0.0,1,5,2,3,0.0,0.147059,5,5,388,0,0,0,33,0
L46670,37,61,0.0,1,4,2,5,0.0,0.0526316,1,4,389,2,0,1,71,0
L46684,38,83,0.0,3,14,2,9,0.0,0.113636,5,4,393,0,0,3,46,0
L46692,17,42,0.0,1,5,3,7,0.0,0.153846,4,4,402,1,0,3,50,0
L46706,37,55,0.0,1,3,4,2,0.0,0.0,0,3,401,1,0,3,49,0
L46720,37,51,0.0,2,4,3,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L46091,15,103,0.561728,3,19,3,2,0.3,0.197674,17,7,407,3,1,4,96,0
L46188,21,142,0.376033,3,24,2,6,0.272727,0.191304,22,8,408,3,1,4,110,0
L46088,15,102,0.5759489999999999,3,19,3,2,0.3,0.2,17,7,410,3,1,5,98,0
L46069,17,61,0.0,1,7,3,2,0.571429,0.375,15,3,432,3,1,4,111,0
L46085,16,98,0.616949,3,19,3,2,0.3,0.209877,17,7,399,7,1,1,104,0
L46177,15,95,0.631944,3,19,2,2,0.3,0.217949,17,7,397,7,1,1,102,0
L46064,21,168,0.225806,8,35,4,6,0.625,0.191781,28,3,510,5,3,4,112,1
L46072,17,60,0.0,1,7,3,2,0.571429,0.384615,15,3,398,7,1,1,99,0
L46955,17,47,0.0,0,8,1,2,0.0,0.0333333,1,8,387,9,3,1,95,0
L46982,16,37,0.0,0,5,2,2,0.0,0.0454545,1,6,389,3,2,0,30,0
L46998,17,43,0.0,0,7,1,2,0.0,0.037037,1,8,420,4,2,4,107,0
L47018,18,50,0.0,1,6,2,7,0.0,0.1,3,5,399,1,0,3,49,0
L47036,20,37,0.0,2,4,3,7,0.0,0.0555556,1,3,389,5,0,1,75,0
L47042,38,82,0.0,4,14,2,8,0.0,0.0555556,2,4,395,2,0,4,94,0
L47055,28,39,0.0,0,2,3,1,0.333333,0.56,14,2,384,0,0,0,25,0
L47064,38,82,0.4,3,14,2,9,0.0,0.0930233,4,3,397,2,0,5,82,0
L47071,17,64,0.39834,2,12,2,9,0.0,0.111111,5,4,397,2,0,5,83,0
L47081,17,53,0.0,3,9,3,8,0.0,0.111111,4,4,411,0,0,0,57,0
L47090,17,33,0.0,0,3,3,3,0.0,0.0,0,4,410,0,0,0,57,0
L47098,18,44,0.0,1,4,2,4,0.0,0.04,1,4,410,0,0,0,57,0
L47106,38,51,0.0,2,4,3,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L47114,34,135,0.5950409999999999,3,18,3,5,0.2,0.171717,17,8,394,10,0,1,115,0
L47155,40,73,0.0,2,11,2,8,0.0,0.157895,6,3,394,2,0,4,91,0
L47163,39,78,0.0,3,9,3,10,0.0,0.0540541,2,4,399,5,0,8,111,0
L47179,30,110,0.159363,2,18,3,8,0.0909091,0.113924,9,10,392,7,1,2,98,0
L47219,37,67,0.0,1,5,3,4,0.0,0.0384615,1,5,423,2,0,4,104,0
L46712,30,110,0.17094,1,20,4,5,0.08333330000000001,0.0843373,7,11,393,7,1,2,99,0
L47287,36,62,0.0,0,5,2,4,0.166667,0.418605,18,5,388,2,0,1,82,0
L46140,34,4674,0.14446199999999998,8,1163,11,275,0.12903199999999998,0.0929234,411,27,530,17,3,3,717,1
L46143,27,850,0.425256,9,267,5,26,0.222222,0.129496,108,7,228,29,4,3,65,0
L48244,17,32,0.0,0,1,4,0,0.5,0.47619,10,1,6,0,0,0,1,0
L50208,20,30,0.0,0,2,5,1,0.0,0.0,0,3,44,50,1,0,97,0
L50359,26,55,0.0,0,6,1,7,0.0,0.0,0,7,62,75,4,0,188,0
L50232,21,35,0.0,0,3,2,2,0.0,0.0,0,3,41,51,2,0,101,0
L50244,20,30,0.0,0,2,2,1,0.0,0.0,0,3,43,49,1,0,102,0
L50254,21,39,0.0,0,3,2,2,0.0,0.0,0,4,42,61,2,0,123,0
L50426,17,237,0.77562,3,53,6,1,0.5,0.117904,27,2,32,0,0,0,4,0
L50275,21,35,0.0,0,3,2,2,0.0,0.0,0,4,42,48,2,0,95,0
L47313,33,1683,0.327676,5,324,9,73,0.2,0.14668399999999998,230,24,436,14,3,3,519,0
L50222,23,80,0.41954,3,11,2,6,0.14285699999999998,0.0980392,5,6,46,75,4,0,149,0
L50264,24,85,0.392473,3,12,2,7,0.125,0.0925926,5,7,47,86,5,0,166,0
L50283,27,111,0.272388,3,18,5,12,0.07692310000000001,0.0821918,6,12,46,102,10,0,205,0
L50294,20,30,0.0,0,2,3,1,0.0,0.0,0,3,43,49,1,0,96,0
L48313,28,352,0.0,6,69,8,27,0.3,0.0931034,27,7,13,4,4,0,13,1
L51451,19,132,0.0,8,28,2,5,0.8,0.27118600000000004,32,1,389,1,0,0,38,0
L51479,23,191,0.0,5,34,1,10,0.666667,0.30814,53,1,145,6,0,0,62,0
L51467,15,31,0.0,0,3,18,0,0.0,0.117647,2,4,3,0,0,0,3,0
L51541,19,50,0.0,1,6,1,7,0.0,0.07692310000000001,2,5,398,2,0,3,58,0
L51556,35,73,0.0,3,11,1,8,0.0,0.162162,6,4,393,0,0,3,46,0
L51565,37,64,0.0,1,9,1,7,0.0,0.0869565,2,4,394,2,0,4,94,0
L51575,17,28,0.0,0,2,1,2,0.0,0.0,0,3,400,1,0,3,49,0
L51581,34,48,0.0,2,4,2,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L51590,16,45,0.0,1,5,1,7,0.0,0.07692310000000001,2,5,397,1,0,3,49,0
L51604,40,113,0.25656,6,24,1,11,0.0,0.130435,9,3,397,2,0,5,83,0
L51616,19,40,0.0,1,4,1,4,0.0,0.1,2,4,384,0,0,0,26,0
L51628,35,47,0.0,2,4,2,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L51636,20,76,0.366337,3,8,1,6,0.0,0.218182,12,5,388,10,0,1,110,0
L51651,19,48,0.0,1,5,1,5,0.0,0.0689655,2,5,388,10,0,1,110,0
L51666,43,110,0.0,3,16,1,11,0.0,0.163934,10,5,394,2,0,4,93,0
L51676,44,88,0.0,4,14,1,11,0.0,0.0909091,4,4,397,5,0,8,111,0
L51686,41,59,0.0,1,5,1,6,0.0,0.0588235,1,4,386,2,0,1,99,0
L51698,34,73,0.0,3,10,2,10,0.0,0.105263,4,4,386,7,1,1,91,0
L51711,42,83,0.0,4,15,1,12,0.0,0.116279,5,4,419,2,0,4,103,0
L51720,34,70,0.0,3,11,2,10,0.0,0.108108,4,5,385,7,1,1,92,0
L51735,40,58,0.0,1,5,1,6,0.0,0.0588235,1,4,384,2,0,1,92,0
L51486,36,1263,0.503743,5,176,6,86,0.0,0.148899,169,17,444,16,2,3,685,1
L51759,21,67,0.0,3,10,3,3,0.5,0.375,18,2,224,26,1,3,60,0
L13239,23,894,0.0,0,239,125,0,0.0375,0.279798,277,231,0,0,0,0,239,0
L13399,20,95,0.0,0,10,7,0,0.909091,0.820895,55,1,0,3,3,3,10,0
L17056,93,8535,0.688224,9,1701,41,164,0.804348,0.106378,884,9,271,5,5,1,72,6
L28510,17,53,0.0,2,8,2,2,0.0,0.0571429,2,5,2,0,0,0,5,0
L12884,51,414,0.0,4,84,91,10,0.35,0.154971,53,13,24,8,8,0,23,1
L12750,25,911,0.0786899,5,112,27,52,0.647059,0.375736,319,6,28,1,1,1,25,1
L31462,28,220,0.0,3,27,0,0,0.833333,0.398104,84,2,9,8,8,1,11,0
L31512,13,75,0.986301,0,4,28,0,0.8,0.526316,20,1,0,0,0,0,12,0
L45039,22,1401,0.514517,3,147,2,92,0.647059,0.223043,302,6,422,11,0,2,480,0
L31330,17,176,0.0,5,30,1,7,0.0,0.1,15,5,11,0,0,0,5,0
L31409,16,188,0.0,4,38,2,1,0.0,0.146067,26,5,13,1,1,0,4,2
L45506,51,764,0.163347,5,166,3,34,0.333333,0.061349699999999986,40,2,10,6,6,0,263,0
L45689,46,946,0.390582,8,190,18,75,0.0909091,0.168132,153,10,422,15,3,3,919,0
L45848,17,205,0.0,0,25,1,0,0.8461540000000001,0.558282,91,4,0,0,0,0,25,0
