ID,CC,NL,WMC,CBOI,NOI,AD,CD,CLOC,PUA,NA,NG,NLG,NS,TNM,bug
L52652,0.235988,2,23,16,17,1.0,0.538462,112,0,105,14,4,7,76,0
L52676,0.24433200000000002,2,24,11,18,1.0,0.5265489999999999,119,0,108,14,3,9,73,0
L52686,0.268437,2,33,11,19,1.0,0.492908,139,0,109,14,4,9,79,0
L122711,0.050174199999999995,6,91,3,20,1.0,0.11698099999999999,31,0,0,0,0,0,10,0
L118736,0.0,0,53,40,0,1.0,0.831364,774,0,0,11,11,0,53,0
L7871,0.0,1,13,31,13,1.0,0.5797100000000001,80,0,106,12,1,7,70,0
L52708,0.0,0,9,10,8,1.0,0.6346149999999999,66,0,104,12,1,7,70,0
L3191,0.236434,3,22,25,13,1.0,0.7040000000000001,176,0,105,15,4,8,76,0
L52714,0.164021,2,14,11,10,1.0,0.575342,84,0,105,11,1,7,71,0
L52722,0.136364,2,16,11,15,1.0,0.557692,87,0,106,13,2,8,71,0
L52730,0.346939,2,27,10,17,1.0,0.49565200000000004,114,0,107,13,3,8,73,0
L52740,0.340183,2,27,10,19,1.0,0.497854,116,0,107,13,3,8,68,0
L52750,0.310345,7,59,11,17,1.0,0.397878,150,0,105,12,2,8,74,1
L53923,0.0,1,4,41,1,1.0,0.777778,63,0,4,3,1,0,10,0
L54007,0.0,1,6,73,1,1.0,0.755319,71,0,5,3,1,0,11,0
L52580,0.301848,2,54,14,28,1.0,0.5607479999999999,300,0,116,15,5,10,83,0
L120178,0.0,0,7,6,2,1.0,0.770642,84,0,103,12,1,7,67,0
L1561,0.09993060000000001,3,101,75,36,1.0,0.657787,642,0,118,23,13,11,92,0
L122168,0.0210012,8,129,2,84,0.428571,0.234069,191,8,33,4,3,1,59,0
L52785,0.43170299999999995,2,35,10,16,1.0,0.4814810000000001,143,0,109,14,4,9,75,0
L52797,0.0703125,2,23,13,16,1.0,0.564815,122,0,109,12,1,7,72,0
L52807,0.1375,2,16,11,15,1.0,0.557692,87,0,106,13,2,8,71,0
L122088,0.0,1,169,3,3,0.0299401,0.0230326,12,162,1,0,0,0,338,0
L118768,0.202444,21,473,8,76,0.666667,0.172049,293,1,7,26,15,0,113,1
L120196,0.159052,6,105,3,10,1.0,0.32745100000000005,167,0,10,6,6,0,354,0
L118762,0.0,0,6,1,5,0.166667,0.11538499999999999,3,5,13,11,3,0,26,0
L7876,0.334081,2,27,12,19,1.0,0.5125,123,0,108,14,3,9,73,0
L120185,0.044112900000000003,4,174,1,48,0.5,0.149786,105,2,138,4,0,1,51,1
L52822,0.0,0,8,12,9,1.0,0.6,54,0,104,12,1,7,67,0
L52828,0.45798999999999995,2,35,9,23,1.0,0.469178,137,0,110,15,4,10,75,0
L3649,0.23892399999999997,2,36,18,33,1.0,0.530435,183,0,114,17,3,10,88,0
L7921,0.18315,2,30,19,31,1.0,0.510274,149,0,116,18,1,9,99,0
L3143,0.0,0,5,59,6,1.0,0.859504,104,0,102,11,0,6,66,0
L52854,0.275862,2,19,12,18,1.0,0.531792,92,0,106,13,2,8,71,0
L52862,0.330377,2,28,12,19,1.0,0.570397,158,0,107,13,3,8,74,0
L3394,0.468553,2,37,25,32,1.0,0.498462,162,0,114,16,2,9,85,0
L7881,0.23626399999999997,2,29,12,22,1.0,0.5700930000000001,183,0,112,14,3,9,76,0
L7886,0.5018050000000001,2,32,11,20,1.0,0.53871,167,0,110,15,4,10,75,0
L52777,0.120553,2,31,18,23,1.0,0.574405,193,0,110,12,2,9,72,0
L52905,0.21286599999999997,2,42,10,25,1.0,0.510029,178,0,111,14,4,9,82,0
L52921,0.2383510000000001,2,35,14,32,1.0,0.45756499999999994,124,0,112,16,2,9,84,0
L52929,0.340961,2,27,10,17,1.0,0.49345,113,0,107,13,3,8,73,0
L119536,0.10568,3,36,1,26,0.75,0.121387,21,1,5,3,3,0,29,0
L3653,0.0731707,4,27,23,20,1.0,0.548387,153,0,110,13,2,8,75,0
L52944,0.337104,2,27,10,19,1.0,0.510373,123,0,108,14,3,9,73,0
L52954,0.0,0,9,11,8,1.0,0.623762,63,0,104,12,1,7,70,0
L7861,0.165829,2,15,14,16,1.0,0.526718,69,0,105,13,1,7,82,0
L52963,0.251852,2,25,13,19,1.0,0.54661,129,0,107,13,3,8,69,0
L3023,0.326754,2,28,13,20,1.0,0.510204,125,0,107,13,3,8,69,0
L118753,0.1341,6,56,4,24,0.13333299999999998,0.0650888,11,13,12,8,8,0,20,0
L123436,0.0,1,11,1,0,1.0,0.616071,69,0,3,4,4,0,6,0
L124360,0.29028000000000004,4,87,1,30,0.8,0.22251300000000002,85,6,20,16,16,0,32,0
L3351,0.254169,2,81,32,44,1.0,0.557669,469,0,128,20,6,14,102,0
L52984,0.412112,2,38,14,27,1.0,0.544944,194,0,112,13,3,8,78,0
L52998,0.21118,2,28,13,23,1.0,0.548736,152,0,109,13,3,8,71,0
L53005,0.257036,2,31,11,21,1.0,0.553459,176,0,110,13,3,9,71,0
L53022,0.048105,2,39,23,11,1.0,0.691992,337,0,117,12,2,7,95,0
L2907,0.0,1,7,33,4,1.0,0.734694,72,0,104,12,1,6,72,0
L119519,0.0,0,11,2,0,1.0,0.8536590000000001,140,0,0,0,0,0,11,0
L122053,0.0,1,19,2,0,0.0,0.0,0,7,3,0,0,0,246,0
L3030,0.11743800000000001,2,18,16,20,1.0,0.5352939999999999,91,0,107,13,1,7,84,0
L53035,0.0,0,9,11,7,1.0,0.577778,52,0,103,11,1,6,68,0
L53041,0.0891892,3,27,11,14,1.0,0.44502600000000003,85,0,105,12,2,7,72,0
L124371,0.0566502,7,44,1,26,0.9285709999999999,0.23445,49,1,13,7,7,0,16,0
L4826,0.170569,2,36,24,26,1.0,0.538941,173,0,110,13,3,8,71,0
L53056,0.217984,2,22,15,21,1.0,0.53271,114,0,108,12,2,7,76,0
L53066,0.284698,2,19,12,16,1.0,0.52381,88,0,105,12,2,7,71,0
L53074,0.244589,2,25,11,19,1.0,0.504587,110,0,107,13,3,8,77,0
L53086,0.23251,2,25,10,19,1.0,0.506849,111,0,107,13,3,8,77,0
L53098,0.106796,2,16,27,10,1.0,0.586957,135,0,115,12,2,7,77,0
L53108,0.323913,2,28,13,19,1.0,0.5040979999999999,123,0,109,14,3,8,79,0
L53118,0.33258899999999997,2,27,13,19,1.0,0.528,132,0,108,13,3,8,76,0
L122791,0.0380952,4,133,2,44,1.0,0.302782,185,0,13,31,31,0,65,0
L124406,0.30721,1,29,1,11,0.05,0.052083300000000006,5,19,8,12,12,0,22,0
L53128,0.136364,2,16,11,15,1.0,0.545455,84,0,106,13,2,8,71,0
L3155,0.07096770000000001,2,33,76,17,1.0,0.509434,135,0,108,13,2,7,79,0
L118850,0.0,1,5,36,1,1.0,0.727273,48,0,4,3,1,0,10,0
L53139,0.283688,2,19,18,16,1.0,0.518072,86,0,105,12,2,7,74,0
L3017,0.283333,2,23,16,21,1.0,0.494845,96,0,107,14,2,8,84,0
L3222,0.294717,3,65,28,32,1.0,0.512953,297,0,118,19,6,12,89,0
L52700,0.0,5,13,27,6,1.0,0.736559,137,0,103,12,1,7,65,0
L53155,0.30807199999999996,2,43,11,15,1.0,0.47256099999999995,155,0,105,13,3,8,74,1
L53477,0.0,1,14,22,0,1.0,0.625,80,0,2,2,2,0,7,0
L53163,0.11810999999999999,2,29,13,22,1.0,0.5611510000000001,156,0,111,13,2,8,75,0
L53175,0.252475,2,25,12,19,1.0,0.556017,134,0,107,13,3,8,74,0
L53185,0.412112,2,38,13,27,1.0,0.542614,191,0,112,13,3,8,78,0
L53199,0.10927200000000001,2,19,11,18,1.0,0.550265,104,0,107,13,2,8,72,0
L53209,0.21739099999999997,2,22,11,22,1.0,0.546296,118,0,108,13,2,8,73,0
L53219,0.334081,2,27,11,20,1.0,0.49568999999999996,115,0,108,14,3,9,73,0
L53229,0.0942857,2,19,11,16,1.0,0.717808,262,0,126,12,2,7,69,0
L53236,0.139241,2,17,10,11,1.0,0.5636359999999999,93,0,105,12,2,7,66,0
L53249,0.141631,2,16,11,13,1.0,0.566879,89,0,105,12,2,7,71,0
L53257,0.275862,2,19,11,18,1.0,0.523529,89,0,106,13,2,8,71,0
L7891,0.296218,2,27,12,23,1.0,0.524904,137,0,110,14,3,9,75,0
L3165,0.0,0,8,33,3,1.0,0.826667,124,0,102,11,0,6,69,0
L124341,0.14444200000000001,6,298,2,72,0.896552,0.209877,238,6,22,29,29,0,123,1
L7907,0.310083,2,82,25,43,1.0,0.540184,410,0,126,23,6,12,114,0
L52600,0.225877,2,31,11,22,1.0,0.58125,186,0,108,14,3,9,77,0
L53293,0.29473699999999997,2,19,11,16,1.0,0.520958,87,0,105,12,2,7,71,0
L3358,0.21108200000000002,2,23,15,23,1.0,0.5405409999999999,120,0,107,12,2,7,69,0
L124401,0.276014,4,71,1,40,0.9523809999999999,0.22330100000000008,69,1,14,13,13,0,23,0
L3215,0.0,0,14,14,3,1.0,0.8461540000000001,143,0,102,17,6,9,75,0
L53308,0.405523,3,40,14,28,1.0,0.5564100000000001,217,0,112,13,3,8,78,0
L3229,0.269777,2,33,21,21,1.0,0.518771,152,0,109,17,4,9,79,0
L53327,0.399142,3,40,14,30,1.0,0.5572520000000001,219,0,113,14,3,9,78,0
L53341,0.334081,2,27,10,19,1.0,0.514523,124,0,108,14,3,9,73,0
L53351,0.198758,2,22,12,17,1.0,0.603306,146,0,107,12,2,9,78,0
L61680,0.12116199999999999,5,78,13,46,1.0,0.563607,350,0,4,6,6,1,27,1
L127997,0.0,4,166,1,65,1.0,0.43928199999999995,416,0,15,10,10,4,44,0
L61861,0.0,1,42,3,18,1.0,0.639566,236,0,3,7,7,0,21,0
L53404,0.0,1,3,6,6,1.0,0.815385,53,0,0,0,0,0,5,0
L89109,0.0,0,3,11,0,1.0,0.9266059999999999,202,0,9,0,0,0,3,0
L130330,0.0,4,45,0,9,0.666667,0.186441,44,1,9,0,0,0,12,0
L130434,0.0543572,3,54,9,4,1.0,0.881582,3365,0,276,6,6,3,10,1
L130760,0.0,3,71,5,1,1.0,0.429708,162,0,0,4,4,0,13,0
L68740,0.0,0,2,3,0,1.0,0.714286,20,0,1,0,0,0,2,0
L69449,0.0,1,26,1,12,1.0,0.474026,73,0,1,0,0,0,18,0
L82632,0.0,0,1,2,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83366,0.0,0,3,1,1,1.0,0.705882,36,0,16,8,0,10,34,1
L83356,0.0,0,1,1,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83384,0.0,0,3,1,2,1.0,0.686275,35,0,15,7,0,10,28,0
L83351,0.0,0,1,2,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83389,0.0,0,6,2,1,1.0,0.757009,81,0,17,8,0,10,37,1
L83323,0.0,0,1,1,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83405,0.0,0,1,2,1,1.0,0.807692,21,0,14,8,0,10,32,1
L82719,0.0,0,3,2,2,1.0,0.892857,100,0,13,8,1,10,28,1
L80312,0.0,0,8,16,2,1.0,0.788991,86,0,5,7,5,0,12,1
L55519,0.00474496,2,44,11,32,1.0,0.79223,938,0,1,1,1,0,44,0
L82383,0.0,3,34,25,1,1.0,0.611111,209,0,13,7,7,10,25,0
L64092,0.0,2,12,43,6,1.0,0.838384,166,0,0,2,2,0,10,0
L64088,0.16961700000000002,6,339,55,61,1.0,0.49077,1090,0,15,4,4,0,31,1
L80283,0.0,0,5,12,0,1.0,0.8552629999999999,65,0,0,0,0,0,5,0
L83346,0.0,0,1,2,1,1.0,0.791667,19,0,13,7,0,10,26,0
L80263,0.0,1,9,5,7,1.0,0.773109,92,0,0,8,8,0,8,0
L85277,0.0,0,1,5,0,1.0,0.916667,33,0,0,0,0,0,1,0
L55497,0.0,0,1,8,0,1.0,0.906977,39,0,0,0,0,0,1,0
L83361,0.0,0,1,1,1,1.0,0.791667,19,0,13,7,0,10,26,0
L83421,0.0,0,1,1,2,1.0,0.777778,21,0,13,7,0,10,26,0
L82134,0.0,1,6,3,4,1.0,0.786517,70,0,15,9,1,12,35,1
L134941,0.0,0,205,0,0,1.0,0.6503939999999999,826,0,0,0,0,0,205,1
L76148,0.0,0,3,30,0,1.0,0.84375,54,0,5,1,1,0,3,0
L73000,0.0,0,2,37,0,1.0,0.578947,22,0,9,0,0,0,2,0
L135666,0.0,1,11,1,4,1.0,0.8941180000000001,380,0,1,0,0,0,5,0
L136313,0.0,0,0,1,0,1.0,0.0324074,7,0,205,0,0,0,0,1
L45963,0.0,1,5,2,0,0.0,0.0625,2,3,2,2,2,0,3,0
L48270,0.292954,4,52,1,9,0.0,0.00666667,1,3,11,11,5,0,30,0
L48311,0.26179600000000003,29,2194,19,305,0.416667,0.0545887,505,7,381,7,4,6,206,1
L50106,0.266927,4,56,5,33,0.25,0.0192308,6,3,6,3,2,4,19,1
L48274,0.0,7,43,2,17,0.0,0.0,0,2,19,5,2,1,68,0
L50860,0.0,1,13,3,1,1.0,0.0945946,7,0,11,0,0,11,11,1
L50910,0.0,3,35,5,7,0.5,0.0897436,14,1,21,6,6,9,17,1
L50874,0.21691999999999997,8,171,2,60,0.0,0.024963299999999997,17,4,18,6,6,0,17,1
L49269,0.0,7,87,5,27,0.0,0.0335052,13,3,5,3,3,0,517,0
L51956,0.2252510000000001,9,253,7,105,0.714286,0.107481,125,2,35,4,1,0,710,1
L49952,0.0,3,31,1,11,0.0,0.0,0,9,2,0,0,0,252,0
L49780,0.0,6,111,4,18,0.0,0.0275862,12,23,12,1,1,0,276,0
L46052,0.0,5,76,2,13,0.857143,0.202899,56,1,389,2,1,0,42,0
L46119,0.155197,9,212,1,49,0.666667,0.205418,182,1,150,8,2,0,77,0
L46312,0.0,2,98,1,1,0.011764700000000001,0.0107527,3,84,3,1,1,0,325,0
L46094,0.0,0,5,25,0,0.0,0.0740741,2,6,5,0,0,0,5,0
L46600,0.0,3,8,1,7,0.0,0.0,0,4,391,5,0,1,78,0
L46615,0.0,0,2,3,2,0.0,0.125,2,3,423,0,0,0,69,0
L46627,0.0,1,6,3,8,0.0,0.09677419999999999,3,5,401,2,0,3,58,0
L46647,0.0,1,5,2,3,0.0,0.147059,5,5,388,0,0,0,33,0
L46670,0.0,1,4,2,5,0.0,0.0526316,1,4,389,2,0,1,71,0
L46684,0.0,3,14,2,9,0.0,0.11363599999999999,5,4,393,0,0,3,46,0
L46692,0.0,1,5,3,7,0.0,0.153846,4,4,402,1,0,3,50,0
L46706,0.0,1,3,4,2,0.0,0.0,0,3,401,1,0,3,49,0
L46720,0.0,2,4,3,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L46091,0.561728,3,19,3,2,0.3,0.197674,17,7,407,3,1,4,96,0
L46188,0.376033,3,24,2,6,0.272727,0.191304,22,8,408,3,1,4,110,0
L46088,0.5759489999999999,3,19,3,2,0.3,0.2,17,7,410,3,1,5,98,0
L46069,0.0,1,7,3,2,0.571429,0.375,15,3,432,3,1,4,111,0
L46085,0.616949,3,19,3,2,0.3,0.209877,17,7,399,7,1,1,104,0
L46177,0.631944,3,19,2,2,0.3,0.21794899999999998,17,7,397,7,1,1,102,0
L46064,0.225806,8,35,4,6,0.625,0.191781,28,3,510,5,3,4,112,1
L46072,0.0,1,7,3,2,0.571429,0.384615,15,3,398,7,1,1,99,0
L46955,0.0,0,8,1,2,0.0,0.0333333,1,8,387,9,3,1,95,0
L46982,0.0,0,5,2,2,0.0,0.0454545,1,6,389,3,2,0,30,0
L46998,0.0,0,7,1,2,0.0,0.037037,1,8,420,4,2,4,107,0
L47018,0.0,1,6,2,7,0.0,0.1,3,5,399,1,0,3,49,0
L47036,0.0,2,4,3,7,0.0,0.055555600000000004,1,3,389,5,0,1,75,0
L47042,0.0,4,14,2,8,0.0,0.055555600000000004,2,4,395,2,0,4,94,0
L47055,0.0,0,2,3,1,0.333333,0.56,14,2,384,0,0,0,25,0
L47064,0.4,3,14,2,9,0.0,0.0930233,4,3,397,2,0,5,82,0
L47071,0.39834,2,12,2,9,0.0,0.11111099999999999,5,4,397,2,0,5,83,0
L47081,0.0,3,9,3,8,0.0,0.11111099999999999,4,4,411,0,0,0,57,0
L47090,0.0,0,3,3,3,0.0,0.0,0,4,410,0,0,0,57,0
L47098,0.0,1,4,2,4,0.0,0.04,1,4,410,0,0,0,57,0
L47106,0.0,2,4,3,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L47114,0.5950409999999999,3,18,3,5,0.2,0.171717,17,8,394,10,0,1,115,0
L47155,0.0,2,11,2,8,0.0,0.157895,6,3,394,2,0,4,91,0
L47163,0.0,3,9,3,10,0.0,0.054054099999999994,2,4,399,5,0,8,111,0
L47179,0.159363,2,18,3,8,0.0909091,0.113924,9,10,392,7,1,2,98,0
L47219,0.0,1,5,3,4,0.0,0.0384615,1,5,423,2,0,4,104,0
L46712,0.17094,1,20,4,5,0.08333330000000001,0.0843373,7,11,393,7,1,2,99,0
L47287,0.0,0,5,2,4,0.166667,0.418605,18,5,388,2,0,1,82,0
L46140,0.14446199999999998,8,1163,11,275,0.12903199999999998,0.09292339999999999,411,27,530,17,3,3,717,1
L46143,0.425256,9,267,5,26,0.22222199999999998,0.129496,108,7,228,29,4,3,65,0
L48244,0.0,0,1,4,0,0.5,0.47618999999999995,10,1,6,0,0,0,1,0
L50208,0.0,0,2,5,1,0.0,0.0,0,3,44,50,1,0,97,0
L50359,0.0,0,6,1,7,0.0,0.0,0,7,62,75,4,0,188,0
L50232,0.0,0,3,2,2,0.0,0.0,0,3,41,51,2,0,101,0
L50244,0.0,0,2,2,1,0.0,0.0,0,3,43,49,1,0,102,0
L50254,0.0,0,3,2,2,0.0,0.0,0,4,42,61,2,0,123,0
L50426,0.77562,3,53,6,1,0.5,0.117904,27,2,32,0,0,0,4,0
L50275,0.0,0,3,2,2,0.0,0.0,0,4,42,48,2,0,95,0
L47313,0.327676,5,324,9,73,0.2,0.14668399999999998,230,24,436,14,3,3,519,0
L50222,0.41953999999999997,3,11,2,6,0.14285699999999998,0.09803919999999999,5,6,46,75,4,0,149,0
L50264,0.392473,3,12,2,7,0.125,0.09259260000000001,5,7,47,86,5,0,166,0
L50283,0.272388,3,18,5,12,0.07692310000000001,0.0821918,6,12,46,102,10,0,205,0
L50294,0.0,0,2,3,1,0.0,0.0,0,3,43,49,1,0,96,0
L48313,0.0,6,69,8,27,0.3,0.0931034,27,7,13,4,4,0,13,1
L51451,0.0,8,28,2,5,0.8,0.27118600000000004,32,1,389,1,0,0,38,0
L51479,0.0,5,34,1,10,0.666667,0.30814,53,1,145,6,0,0,62,0
L51467,0.0,0,3,18,0,0.0,0.117647,2,4,3,0,0,0,3,0
L51541,0.0,1,6,1,7,0.0,0.07692310000000001,2,5,398,2,0,3,58,0
L51556,0.0,3,11,1,8,0.0,0.162162,6,4,393,0,0,3,46,0
L51565,0.0,1,9,1,7,0.0,0.0869565,2,4,394,2,0,4,94,0
L51575,0.0,0,2,1,2,0.0,0.0,0,3,400,1,0,3,49,0
L51581,0.0,2,4,2,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L51590,0.0,1,5,1,7,0.0,0.07692310000000001,2,5,397,1,0,3,49,0
L51604,0.25656,6,24,1,11,0.0,0.130435,9,3,397,2,0,5,83,0
L51616,0.0,1,4,1,4,0.0,0.1,2,4,384,0,0,0,26,0
L51628,0.0,2,4,2,2,0.0,0.07142860000000001,1,3,387,1,0,0,27,0
L51636,0.36633699999999997,3,8,1,6,0.0,0.21818200000000001,12,5,388,10,0,1,110,0
L51651,0.0,1,5,1,5,0.0,0.0689655,2,5,388,10,0,1,110,0
L51666,0.0,3,16,1,11,0.0,0.163934,10,5,394,2,0,4,93,0
L51676,0.0,4,14,1,11,0.0,0.0909091,4,4,397,5,0,8,111,0
L51686,0.0,1,5,1,6,0.0,0.0588235,1,4,386,2,0,1,99,0
L51698,0.0,3,10,2,10,0.0,0.10526300000000001,4,4,386,7,1,1,91,0
L51711,0.0,4,15,1,12,0.0,0.116279,5,4,419,2,0,4,103,0
L51720,0.0,3,11,2,10,0.0,0.108108,4,5,385,7,1,1,92,0
L51735,0.0,1,5,1,6,0.0,0.0588235,1,4,384,2,0,1,92,0
L51486,0.503743,5,176,6,86,0.0,0.148899,169,17,444,16,2,3,685,1
L51759,0.0,3,10,3,3,0.5,0.375,18,2,224,26,1,3,60,0
L13239,0.0,0,239,125,0,0.0375,0.279798,277,231,0,0,0,0,239,0
L13399,0.0,0,10,7,0,0.909091,0.820895,55,1,0,3,3,3,10,0
L17056,0.688224,9,1701,41,164,0.804348,0.106378,884,9,271,5,5,1,72,1
L28510,0.0,2,8,2,2,0.0,0.057142899999999996,2,5,2,0,0,0,5,0
L12884,0.0,4,84,91,10,0.35,0.154971,53,13,24,8,8,0,23,1
L12750,0.0786899,5,112,27,52,0.647059,0.375736,319,6,28,1,1,1,25,1
L31462,0.0,3,27,0,0,0.833333,0.398104,84,2,9,8,8,1,11,0
L31512,0.986301,0,4,28,0,0.8,0.526316,20,1,0,0,0,0,12,0
L45039,0.514517,3,147,2,92,0.647059,0.223043,302,6,422,11,0,2,480,0
L31330,0.0,5,30,1,7,0.0,0.1,15,5,11,0,0,0,5,0
L31409,0.0,4,38,2,1,0.0,0.146067,26,5,13,1,1,0,4,1
L45506,0.163347,5,166,3,34,0.333333,0.061349699999999986,40,2,10,6,6,0,263,0
L45689,0.39058200000000004,8,190,18,75,0.0909091,0.168132,153,10,422,15,3,3,919,0
L45848,0.0,0,25,1,0,0.8461540000000001,0.558282,91,4,0,0,0,0,25,0
L45735,0.266667,5,49,1,11,0.0,0.168067,20,3,144,6,0,0,57,0
L19576,0.322811,4,56,7,35,0.428571,0.146552,34,4,417,20,0,1,117,0
L19012,0.119072,7,183,263,64,0.2,0.1983,140,16,380,0,0,0,20,1
L13292,0.261153,5,104,85,55,0.178571,0.122137,48,23,408,0,0,0,48,0
L19278,0.0,2,17,79,5,0.583333,0.268041,26,5,396,1,1,3,40,0
L19345,0.33313400000000004,6,101,35,61,0.125,0.16986300000000001,62,14,392,2,0,4,79,1
L13275,0.0920245,8,122,58,33,0.1,0.0771277,29,9,389,5,3,1,72,1
L19880,0.340426,3,42,12,33,0.11111099999999999,0.09701489999999999,13,8,412,0,0,0,62,0
L13268,0.193922,5,43,44,34,0.1,0.14189200000000002,21,9,398,2,1,3,54,0
L20018,0.0,3,38,12,30,0.166667,0.172414,25,5,387,2,0,1,67,0
L19759,0.0,5,61,20,41,0.28571399999999997,0.119403,24,5,386,2,0,1,68,0
L20129,0.21568600000000002,2,14,16,14,0.14285699999999998,0.08571430000000001,6,6,387,8,2,1,94,0
L20175,0.13777799999999998,2,40,11,32,0.08333330000000001,0.0988372,17,11,386,2,0,1,77,0
L20280,0.282051,2,13,19,11,0.28571399999999997,0.181818,12,5,387,8,2,1,94,0
L20320,0.0,3,41,5,48,0.0,0.0903614,15,9,384,0,0,0,34,1
L20190,0.0,5,77,27,49,0.07142860000000001,0.146552,34,13,386,4,2,1,77,0
L19578,0.707271,5,422,23,101,0.48,0.146289,274,13,415,20,0,1,111,0
L21175,0.0,3,30,24,15,0.181818,0.11009200000000001,12,9,383,0,0,0,36,0
L21224,0.0,4,9,7,6,0.5,0.211538,11,2,384,0,0,0,31,0
L21252,0.0,3,16,4,19,0.0,0.128571,9,5,384,0,0,0,33,0
L21310,0.0,5,34,12,28,0.375,0.213675,25,5,382,0,0,0,33,0
L19512,0.0809717,8,152,30,56,0.6190479999999999,0.24349400000000002,131,8,387,2,0,2,92,1
L21559,0.241379,2,18,8,7,0.166667,0.17284000000000002,14,5,386,2,0,1,76,0
